"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
-0.34282592627788,5.91215478545394,-4.89910858816298,7.75119662610002e-06,0.000710090728124756,3.54925168196615,"WWC3","NS",""
-0.608910092946597,5.15831190297292,-4.89501810052964,7.86687292294708e-06,0.000716522061542642,3.53539580353924,"SPON2","NS",""
-0.456407039367035,5.51707064407215,-4.89261833516786,7.93552220751535e-06,0.000717141631456807,3.52726913085218,"ZFP36L2","NS",""
-0.623829174398135,5.03388247195563,-4.89034699644507,8.00103814517162e-06,0.000717141631456807,3.51957883627937,"TKFC","NS",""
-0.342836373273583,5.46967781817594,-4.888795884317,8.04608364042805e-06,0.000717141631456807,3.51432790517984,"USP13","NS",""
0.706813018184397,4.95905484718122,4.88846497435151,8.05572563101192e-06,0.000717141631456807,3.51320777244531,"PCLAF","NS",""
-0.711409037918507,5.66799989580569,-4.88416100023175,8.18216986700469e-06,0.000724305902215691,3.49864155707812,"NHERF1","NS",""
-0.377672796136788,5.89633573645826,-4.88053255764886,8.29027691777639e-06,0.000729775940745266,3.48636558863113,"GALM","NS",""
-0.312274077596368,5.20776892698131,-4.87849930762049,8.35146671993463e-06,0.000731078117255611,3.47948817674643,"FBXO25","NS",""
0.316582786328677,5.02246168473461,4.87094444617347,8.58272738658611e-06,0.000747171466466505,3.45394418382359,"CDC23","NS",""
0.397314927748299,6.16229584083721,4.86912317619247,8.63940961603138e-06,0.000747973501757178,3.44778861744159,"PLOD3","NS",""
-0.440321943480356,5.15922740605746,-4.86470267209145,8.77851552191105e-06,0.000755863765457663,3.43285197697568,"STAT5A","NS",""
0.389563604245034,5.47537656674392,4.84976799900512,9.2649035127767e-06,0.000793408068754469,3.38242926068719,"MCM3","NS",""
-0.536685450843284,4.82526440441187,-4.83714047530237,9.69666324335089e-06,0.000825893636353946,3.33984531038598,"CACHD1","NS",""
-0.729611796470658,5.45482734408377,-4.83279157300311,9.84987327914188e-06,0.000830341475407946,3.32518998036826,"NDRG2","NS",""
0.454387106672259,4.77814669723453,4.83266753018059,9.85427783850263e-06,0.000830341475407946,3.3247720488358,"RHNO1","NS",""
0.488450493952787,3.56864107917952,4.82256507432926,1.02195475563138e-05,0.000856539419387428,3.29074914460139,"KNL1","NS",""
0.488210633578614,5.19281553993167,4.81816827847175,1.03826292004726e-05,0.000865603641861626,3.2759508462442,"RFC4","NS",""
-0.519261228148708,5.71220592987953,-4.81109881207461,1.06501978235368e-05,0.000883237721607737,3.252168841582,"RBKS","NS",""
1.1591514666292,4.10051176080958,4.80732053765853,1.07959549646354e-05,0.000890638022920213,3.23946448920454,"ANLN","Up","ANLN"
0.300454821984192,6.35281924895725,4.80157778176517,1.10212431509626e-05,0.000904488168383945,3.22016255732496,"NOMO1","NS",""
-0.511038613349156,4.92493930471735,-4.79418845113109,1.13179041744798e-05,0.000924021844959991,3.19534047095117,"RASSF2","NS",""
0.317637450579812,4.50351452721208,4.79072202829197,1.14597500200177e-05,0.00093077979930628,3.18370163331475,"C5orf22","NS",""
-0.299116021995308,4.44913300335726,-4.78728763471625,1.16019999618076e-05,0.000933372581656113,3.17217380874512,"ANTXR1","NS",""
-0.491894522552073,5.90534016403903,-4.78709227878153,1.1610143174754e-05,0.000933372581656113,3.17151818448873,"CHKB","NS",""
1.09308019368699,4.74453992256757,4.78249792817798,1.18032741816415e-05,0.000944082189239214,3.15610254742591,"SPP1","Up","SPP1"
-0.344847175253946,4.48123004568567,-4.78066144303624,1.18813499549637e-05,0.000945527430506885,3.14994224089402,"IDNK","NS",""
-0.686350321790869,5.68933817176585,-4.77757671916897,1.20136314110248e-05,0.000951250201726222,3.13959707843681,"HCLS1","NS",""
-0.814474381703016,4.87936096398893,-4.76891530864165,1.23928054130105e-05,0.000976367174464035,3.11056454556846,"CXCL12","NS",""
